artist,country,year,country-guess,source,genres
Audit,,2006,,,
Aural Imbalance,,2025,,,
Aural Trash,NZ,2013,NZ,,
Aurora Halal,,2015,,,
Auxwave,,2020,,,
Avus,,2010,,,
Axel Knox,,2012,,,
Axwell,,2008,,,
Ayla,,2010,,,
Azari & III,,2011,,,
Azu Tiwaline,,2022,,,
Azu Tiwaline & Forest Drive West,,2024,,,
"Azu Tiwaline, Al Wootton",,2022,,,
Azure,NZ,2021,NZ,,"Breakbeat; Electronica; Techno"
Azymuth,,2003,,,
BENEE,NZ,2019,NZ,,
BFRND & Vladimir Cauchemar,,2022,,,
BLANKA (ES),,2025,,,
BOMB DYLAN,NZ,2021,NZ,,"Breakbeat; House; Techno"
BSOD,,2007,,,
Baalti,,2025,,,
Babe Rainbow,,2012,,,
Baby Rollen,,2023,,,
Baby Zionov,,2022,NZ,https://musicbrainz.org/artist/15be8b95-89a5-4a16-acf4-811ab6780bcf,
Backdraft,,2007,,,
Backstreet Boys,,2008,,,
Bad Mojo,,2014,,,
Badawi & Kode9,,2007,,,
Badr Avsar,,2016,,,
Bag Raiders,,2011,,,
Baggi Begovic & Rene Amesz,,2010,,,
Bah Samba,,2007,,,
Bahamadia,,1996,,,
Bailey Ibbs,,2023,,,
Baitercell & Schumacher,NZ,2005,NZ,,
Bakehaus On Crack DJs,,2011,,,
Bakey,,2021,,,
Bakey & Kasia,,2021,,,
Baltra,,2020,,,
Bambounou,,2018,,,
Bambounou & Priori,,2024,,,
Baobinga,,2007,,,
Baobinga & I.D.,,2009,,,
Baobinga (ft. Untold),,2010,,,
Barker,,2025,,,
Barker & Baumecker,,2016,,,
Barretso,,2010,,,
Barrington Levy,,1982,,,
Barry Can't Swim,,2024,,,
Bart B More,,2010,,,
Bart Claessen,,2008,,,
Bart van Rijn,,2022,,,
Bas Amro,,2018,,,
Basement Jaxx,,2006,,,
Basic Channel,,1994,,,
Bass Kleph,,2007,,,
Bass Kleph & Anthony Paul,,2008,,,
Bass Kleph & Chris Arnott,,2011,,,
Bass Weazal,,2009,,,
Bassel Darwish,,2019,,,
Basshunter,,2008,,,
Basti Grub & Komaton,,2010,,,
Batu,,2021,,,
Baxter Baxter,,2007,,,
Bay B Kane,,1994,,,
Be & LA,,2014,,,
Be Svendsen,,2005,,,
Bearcubs,,2017,,,
Bearface,,2013,,,
Beastie Boys,,1992,,,
Beat Assassins vs. Ms Dynamite,,2010,,,
Beat Cool Brothers,,2013,,,
Beat Mafia,,2013,NZ,https://musicbrainz.org/artist/e61e91ce-8641-47b3-ae24-808df22bdc7a,
BeatFlex,,2013,,,
Beataucue,,2011,,,
Beatfreakz,,2006,,,
Beatkeepers,,2010,,,
Beatrice Dillon & Call Super,,2017,,,
Beatrice M.,,2025,,,
Beatrice M. & Sub Basics,,2025,,,
Beck,,2005,,,
Becquer,,2013,,,
Bedouin,,2016,,,
Beep,,2008,,,
"Beico, Beico & MT93 & MT93 (IT)",,2018,,,
Belfi / Grubbs / Pilia,,2010,,,
Ben Kaczor,,2023,,,
Ben Klock,,2017,,,
Ben Klock & Fadi Mohem,,2025,,,
Ben Klock & Marcel Dettmann,,2006,,,
Ben Lukas Boysen,,2014,,,
Ben McGowan & Nick Coles,,2019,,,
Ben Mono,,2007,,,
Ben Prophet,,2024,,,
Ben Sterling,,2019,,,
Ben Webster,,,,,
Bendik Giske,,2018,,,
Beneath Usual,,2017,,,
Benga,,2009,,,
Beni,,2011,,,
Benjamin Damage,,2015,,,
Benjamin Damage & Doc Daneeka,,2013,,,
Benjamin Fröhlich,,2019,,,
Benny Benassi,,2008,,,
Benoit & Sergio,,2013,,,
Benson,,2011,,,
Bersarin Quartett,,2015,,,
Betoko & Malikk,,2019,,,
Beyoncé,,2009,,,
Bibio,,2024,,,
Biboulakis,,2011,,,
Bicep,,2025,,,
Bicep & ELIZA,,2025,,,
Bicep & Hammer,,2015,,,
Big Daddy Kane,,1993,,,
Bill Ryan & Grand Valley State University New Music Ensemble,,2009,,,
Billion,,2013,,,
Billy Ocean,,1988,,,
Bing & Ruth,,2014,,,
Bingo Players,,2012,,,
Bingo Players (ft. Dan'thony),,2009,,,
Biodub,,2011,,,
Biome,,2019,,,
Biome & Hypho,,2019,,,
Bionic Commando,,2009,,,
Biosphere,,2025,,,
Bitter Babe & Nick León,,2022,,,
Biz Markie,,1989,,,
Björk,,2009,,,
Black Holes,,2010,,,
Black Loops & James Pepper,,2021,,,
Black Loops & MAMA,,2015,,,
Black Noise,,2010,,,
Black Rose,,2011,,,
Black Uhuru,,1981,,,
Blackfinger,,2010,,,
Blasha & Allatt,,2023,,,
Blatta & Inesha,,2011,,,
Blaze Tripp,NZ,2010,NZ,,
Blende,,2009,,,
Bloc Party,,2015,,,
Bluetoof,,2023,,,
Blunted Beatz,,2017,,,
Boards of Canada,,2002,,,
Bob James,,1977,,,
Bob Moses,,2013,,,
Bob Sinclar,,2006,,,
Bob Sinclar ft. Gene Van Buren,,2006,,,
Bobby Blanco & Miki Moto,,2006,,,
Bobby Peru,,2007,,,
Bobmo,,2010,,,
Boddika,,2020,,,
Bodhi,,2025,,,
Bodie,,2022,,,
Body Snatchers,,2006,,,
BodyRockers,,2005,,,
Bomb Dylan,NZ,2020,NZ,,
Bomb The Bass,,2008,,,
Bombs Away,,2011,,,
Bonde do Role,,2007,,,
Bonobo,,2021,,,
Bonsai Kat,,2010,,,
Bontan,,2017,,,
Bontan & Booka Shade,,2021,,,
Boogie Army,,2007,,,
Booka Shade,,2018,,,
Bookwood,,2020,,,
Boombox Cartel,,2021,,,
Booshank,,2012,,,
Booty Luv,,2007,,,
Borai,,2022,,,
Borderline,NZ,2010,NZ,,
Boris,,2009,,,
Boris Brejcha,,2021,,,
Boris Dlugosch,,2013,,,
Botnek,,2011,,,
Bounty Killer feat. Dulas & Fiona,,2008,,,
Bourke & Vegas,,2013,,,
Bowski,,2011,,,
Boy 8-Bit,,2010,,,
Boy In Nature & Gaszia,,2023,,,
"Boy In Nature, Gaszia",,2023,,,
Boys Noize,,2011,,,
Boys Noize & Erol Alkan,,2010,,,
Brabe,,2007,,,
"Braxe + Falcon, Alan Braxe & DJ Falcon",,2022,,,
Breach,,2013,,,
Break The Box,,2008,,,
Breaka,,2026,,,
Breaka & Stones Taro,,2026,,,
Breaka x Guava,,2020,,,
Breakage,,2022,,,
Breakdown,,2010,,,
Breakfastaz ft. Ivory,,2007,,,
Breaks Co-Op,,,,,
Brendon Moeller,,2025,,,
Brian Eno,,2010,,,
Brian Sanhaji,,2018,,,
Britney Spears,,2011,,,
Broadbeatz,,2006,,,
Broken English Club,,2025,,,
Broken Social Scene,,2010,,,
Brondinski & Noob,NZ,2010,NZ,,
Brookes Brothers,,2008,,,
Brooklyn Funk Essentials,,2000,,,
Bruce Brubaker,,2003,,,
Bruno Pronsato,,2019,,,
Brutalist,,2016,,,
Bryan Jones,,2009,,,
Bryn Thomas,,2011,,,
Bubba,,2012,,,
Buck UK,,2011,,,
Buckley,,2006,,,
Buckshot LeFonque,,1994,,,
Buena Vista Social Club,,,,,
Bugs Bunny,,1930,,,
Bugz In The Attic,,2006,,,
Bukue One,,2006,,,
Bumblebeez,,2007,,,
Bunny,,2014,,,
Buraka Som Sistema,,2009,,,
Burial,,2007,,,
Burning Spear,,1976,,,
Burns,,2009,,,
Bush II Bush,,2013,,,
Bushbaby,,2023,,,
Busta Rhymes,,2007,,,
Busta Rhymes vs. Kriss Cross vs. Cheekyboy,,,,,
Busy P,,2007,,,
Butch,,2017,,,
Buy Now,,2007,,,
Bwi-Bwi,,2017,,,
By Lotus,,2018,,,
Byron Foxx,,2009,,,
C418,,2018,,,
CAYAM,,2022,,,
CCL,,2024,,,
CHAII,NZ,2020,NZ,,
CHEFF,,2024,,,
CLOSE,,2013,,,
COEO,,2016,,,
COPA909,,2024,,,
CSS,,2007,,,
CTA Loves You,,2012,,,
CTFD,NZ,2012,NZ,,
CV1,,2025,,,
CYRK,,2018,,,
CYXQRD,NZ,2025,NZ,,
Cadans & Kracht,,2022,,,
"Café Zimmermann, Pablo Valetti, David Plantier, Mauro Lopes Ferreira, Nicholas Robinson & Petr Skalka",,2013,,,
Cagedbaby,,2009,,,
Caldera,,2015,NZ,https://musicbrainz.org/artist/fd1756be-fc69-4d94-b2f7-cfc8b7af4664,
Calerway,,2009,,,
Calibre,,2019,,,
Calvertron,,2008,,,
Calvertron & Kieran Brindley,,2009,,,
Calvertron vs. Banga,,2009,,,
Calvin Harris,,2017,,,
Calvin Harris ft. Kelis,,2011,,,
Cam Harris,,2022,,,
Camel,,2010,,,
CamelPhat,,2016,,,
Cameo Blush,,2022,,,
Cameron Jack,,2024,,,
Camila Cabello,,2017,,,
"Camille Berthollet, Guillaume Vincent & Julie Berthollet",,2016,,,
Camille Jones,,2007,,,
Camille Jones vs. Fedde Le Grand,,2007,,,
Campiz,NZ,2010,NZ,,
Canblaster,,2011,,,
Candi Station,,2008,,,
Candido,,1973,,,
Capoeira Twins,,2007,,,
Capricornus Consort Basel & Péter Barczi,,2017,,,
Caribou,,2021,,,
Carl Cox,,2024,,,
Carl Cox vs. Yousef,,2009,,,
Carl Craig,,2018,,,
Carl Craig & Theo Parrish,,2013,,,
Carl Finlow,,2021,,,
Carl Stone,,2016,,,
Carlo Whale,,2017,,,
Carmen Villain,,2024,,,
Carnifull Trio,,2007,,,
Carol lei Breckenridge,,2013,,,
Carré,,2025,,,
Carré & Addison Groove,,2025,,,
Carrier,NZ,2025,NZ,,"Dub; Techno"
Cartola,,1976,,,
Caru,NZ,2026,NZ,,
Caru & AndWahn,NZ,2024,NZ,,
Caru & Brandn Shiraz,NZ,2025,NZ,,
"Caru, Brandn Shiraz & Eo",NZ,2025,NZ,,
"Caru, Brandn Shiraz & JARNA",NZ,2025,NZ,,
Case (UK),,2025,,,
Casey Club,,2024,,,
Casey Spillman,,2024,,,
Cass & Mangan,,2006,,,
Cassian,,2009,,,
Cassius,,2011,,,
Cat Power,,2006,,,
Caterina Barbieri,,2022,,,
Caterina Barbieri & Bendik Giske,,2026,,,
Catz 'n Dogz,,2012,,,
"Catz 'n Dogz, Gerd Janson, Andrea Oliva",,2019,,,
Cavell,NZ,2012,NZ,,
Cayam & Maya Jane Coles,,2020,,,
Cazals,,2008,,,
Cee Lo Green,,2010,,,
Ceiasa,,2013,,,
Celeda,,1999,,,
Celer,,2024,,,
Celestial Trails,,2025,,,
Celsius,,2013,,,
Cervendos & Freakvent Flote,,2013,,,
Cesco,,2023,,,
Cesco & Hamdi,,2023,,,
Chad Lawson,,2024,,,
Chaim,,2013,,,
Chanel,,2008,,,
Channel One,,2023,,,
Chants,,2023,,,
Chaos In The CBD,NZ,2025,NZ,,"Dub; House"
Chaos In The CBD & Cenk Esen,,2025,,,
Chaos In The CBD & Nathan Haines,NZ,2025,NZ,,
Chaos In The CBD & Tom Lawson,,2010,,,
Chaos In the CBD,,2019,,,
Chaos in the CBD,NZ,2019,NZ,,
Charlean Dance,,2007,,,
Charles B,,2006,,,
Charli xcx,,2024,,,
Charli xcx & Billie Eilish,,2024,,,
Charlie Hunter,,2016,,,
"Charlie Hunter, Skerik & Stanton Moore",,1998,,,
Charlotte Adigéry & Bolis Pupul,,2022,,,
"Charlotte Devaney, Bellyman & Scrufizzer",,2023,,,
Charlotte Gainsbourg,,2012,,,
Charlotte de Witte,,2021,,,
Chase & Status,,2019,,,
Chase & Status & Bou,,2023,,,
Che Fu,NZ,2001,NZ,,
Che-Fu,,2001,,,
Chelley,,2009,,,
Chen,,2007,,,
Chernobyl,,2010,,,
Cherrystone,,2001,,,
Chesus And Rodski,,2009,,,
Chet Baker,,,,,
Chewy Chocolate Cookies,,2010,,,
Chez Damier,,2017,,,
Chiapet,,2004,,,
Chic,,1977,,,
Chicken Lips,,2012,,,
Chicks on Speed,,2017,,,
Chihei Hatakeyama,,2017,,,
Chimpo,,2023,,,
Chiney KiKi & Channel One,,2022,,,
Chip Wickham & Peach,,2025,,,
Chklte,,2016,,,
Chlär,,2025,,,
Chloe,,2006,,,
Chloé Robinson & DJ ADHD,,2023,,,
Chloé Robinson + DJ ADHD,,2023,,,
"Chloé Robinson, DJ ADHD & Nikki Nair",,2023,,,
Chores,,2013,NZ,https://musicbrainz.org/artist/9fa78d44-fbce-47ae-94e4-8dd7bec50c33,
Chris 'MiMo' Jones,,2008,,,
Chris Brown,,2010,,,
Chris Cornell (Feat. Timbaland),,2009,,,
Chris Di Perri,,2025,,,
Chris Lake,,2007,,,
Chris Lake & Lee Foss,,2019,,,
Chris Lake & Micky Slim,,2007,,,
Chris Liebing,,2026,,,
Chris Liebing & Ralf Hildenbeutel,,2018,,,
Chris Lorenzo,,2023,,,
Chris Lorenzo & Donkie Punch,,2013,,,
Chris Malinchak,,2013,,,
Chris McCormack,,2008,,,
Chris Quirk,,2013,,,
Chris Randall,,2019,,,
Christian Cambas,,2012,,,
Christian Coiffure,,2023,,,
Christian Löffler,,2016,,,
Christian Martin,,2012,,,
Christian Smith,,2013,,,
Christian Smith & 2Pole,,2017,,,
Christian Smith & Harry Romero,,2017,,,
Christian Smith & John Selway,,2013,,,
Christian Smith & Victor Ruiz,,2017,,,
Christian Smith & Wehbba,,2017,,,
Christian Tetzlaff,,2017,,,
Christina Vantzou,,2014,,,
Christophe Rousset & Les Talens Lyriques,,2017,,,
Christopher Schwarzwälder,,2020,,,
Christopher Schwarzwälder & David Dorad,,2015,,,
Christopher Willits,,2017,,,
Chromeo,,2011,,,
Chronixx,,2017,,,
Chuck Love,,2010,,,
Church & AP,NZ,2025,NZ,,
Church Andrews & Matt Davies,,2024,,,
Cibo Matto,,1996,,,
Cicada,,2009,NZ,https://musicbrainz.org/artist/cd7551b6-3954-4690-8f64-e5827f75929c,
Cicuendez,,2016,,,
Ciel & CCL,,2024,,,
"Circle Of Live, Sebastian Mullaert & Johanna Knutsson",,2021,,,
Circuit,NZ,2011,NZ,,
Circulation,,2000,,,
Citizen 42 & Tim Cullen,,2013,,,
City Hunters,,2007,,,
Clark,,2025,,,
Claro Intelecto,,2019,,,
Claude Debussy,,2011,,,
Claude VonStroke,,2025,,,
Claude VonStroke & Eats Everything,,2012,,,
Claude VonStroke & Eprom,,2018,,,
Claude VonStroke & J. Phlip,,2009,,,
Claude VonStroke & Justin Martin,,2009,,,
Claude Vonstroke,,2008,,,
Claudio Scimone & I Solisti Veneti,,1987,,,
"Claudio Scimone, I Solisti Veneti & Giuliano Carmignola",,1981,,,
"Claudio Scimone, I Solisti Veneti & Piero Toso",,1981,,,
"Claudio Scimone, I Solisti Veneti & Pierre Pierlot",,1968,,,
Clay,NZ,2025,NZ,,
Clazziquai Project,,2007,,,
Cle,,2012,,,
Clear Path Ensemble,NZ,2025,NZ,,
"Clearcast, Psykh",,2023,,,
Cleptomaniacs ft. Bryan Chambers,,2006,,,
Click Click,,2020,,,
Clicks & Whistles,,2011,,,
Client,,2004,,,
Clipse,,2006,,,
"Cloonee, Young M.A & InntRaw",,2024,,,
Clouds,,2012,,,
Club Winston,,2020,,,
Cobblestone Jazz,,2025,,,
Cocktail Party Effect,,2020,,,
Coco Bryce,,2024,,,
Coconut,,2025,,,
Coda,,2007,,,
Code 3,,2010,,,
Coeo,,2014,,,
Coil,,2021,,,
Cold Blank,,2008,,,
Coldpast & Tuff Trax,,2025,,,
Coleman Hawkins,,,,,
Coleman Hawkins & Ben Webter,,,,,
Colette,,2007,,,
Colin Benders,,2021,,,
Colin Munroe,,2009,,,
College,,2009,,,
Colyn,,2020,,,
Com Truise,,2011,,,
Commodo & Gantz,,2025,,,
Compuphonic,,2012,,,
Computers Want Me Dead,NZ,2010,NZ,,
Concord Dawn,NZ,2012,NZ,,
Conforce,,2019,,,
Coni,,2013,,,
Connie Francis,,1962,,,
Connie Stevens,,2015,,,
Conspirare & Craig Hella Johnson,,2014,,,
CoolTasty & NVTHEC,,2024,,,
Cops & Robbers,,2008,,,
Copyfokking,,2007,,,
Copyright,,2014,,,
Core,,2018,,,
Cosmetics,,2008,,,
Cosmos,,2005,,,
Costello,,2012,,,
Cotti,,2009,,,
Count Basie & Joe Williams,,,,,
Count Of Monte Cristal,,2007,,,
Cousin & Priori,,2025,,,
Coyu,,2013,,,
Crackazat,,2015,,,
Crackpot,,2012,,,
Crazy P,,2012,,,
Crazy Penis,,2002,,,
Credit 00,,2019,,,
Cristian Vogel,,2021,,,
Cristoph,,2018,,,
Crookers,,2013,,,
Crookers & Boy 8-bit,,2008,,,
Crookers & Neoteric & Wax Motif,,2011,,,
Crookers & Savage Skulls,,2011,,,
Cross The Noughts,NZ,2011,NZ,,
Crunkwork,,2011,,,
Crystal Castles,,2010,,,
Crystal Clear,,2006,,,
Crystal Fighters,NZ,2010,NZ,,
Ctrl Z vs. Screwface,,2006,,,
Ctrl Z vs. The Freestylers,,2009,,,
Ctrls303,,2025,,,
Cubicolor,,2017,,,
Culprit 1,,2007,,,
Cult,,2008,,,
Culture Shock & TEED,,2024,,,
